"TIME";"Date";"Hour";"Hourly irrigation requirements (m3)";"Suggested Soil Moisture (%)";"Irrigation Suggested (m3)";"Irrigation Limit (m3)"
2024-10-15 10:00:00;"2024-10-15";10;0;10.0999539578374;0;0
2024-10-15 11:00:00;"2024-10-15";11;0;22.9560720441386;0;0
2024-10-15 12:00:00;"2024-10-15";12;0;22.908514037969;0;0
2024-10-15 13:00:00;"2024-10-15";13;0;22.8450452542768;0;0
2024-10-15 14:00:00;"2024-10-15";14;0;22.7856706601689;0;0
2024-10-15 15:00:00;"2024-10-15";15;0;22.7258935407426;0;0
2024-10-15 16:00:00;"2024-10-15";16;0;22.6768819291522;0;0
2024-10-15 17:00:00;"2024-10-15";17;0;22.6364308033136;0;0
2024-10-15 18:00:00;"2024-10-15";18;0;22.5881796352259;0;0
2024-10-15 19:00:00;"2024-10-15";19;0;22.5583643496097;0;0
2024-10-15 20:00:00;"2024-10-15";20;0;22.54946872177;0;0
2024-10-15 21:00:00;"2024-10-15";21;0;22.5473815719814;0;0
2024-10-15 22:00:00;"2024-10-15";22;0;22.5457210060089;0;0
2024-10-15 23:00:00;"2024-10-15";23;0;22.5444780308639;0;0
2024-10-16 00:00:00;"2024-10-16";0;0;22.5446077636681;0;0
2024-10-16 01:00:00;"2024-10-16";1;0;22.5446889232792;0;0
2024-10-16 02:00:00;"2024-10-16";2;0;22.544642431714;0;0
2024-10-16 03:00:00;"2024-10-16";3;0;22.5444016216085;0;0
2024-10-16 04:00:00;"2024-10-16";4;0;22.5447903804096;0;0
2024-10-16 05:00:00;"2024-10-16";5;0;22.5447805298775;0;0
2024-10-16 06:00:00;"2024-10-16";6;0;22.5447351915543;0;0
2024-10-16 07:00:00;"2024-10-16";7;0;22.5447734144988;0;0
2024-10-16 08:00:00;"2024-10-16";8;0;22.5448793481606;0;0
2024-10-16 09:00:00;"2024-10-16";9;0;22.5447051860832;0;0
2024-10-16 10:00:00;"2024-10-16";10;0;22.5408245995177;0;0
2024-10-16 11:00:00;"2024-10-16";11;0;22.5129293375303;0;0
2024-10-16 12:00:00;"2024-10-16";12;0;22.4607482329039;0;0
2024-10-16 13:00:00;"2024-10-16";13;0;22.3892835857584;0;0
2024-10-16 14:00:00;"2024-10-16";14;0;22.3034116783722;0;0
2024-10-16 15:00:00;"2024-10-16";15;0;22.2327165504317;0;0
2024-10-16 16:00:00;"2024-10-16";16;0;22.145735317629;0;0
2024-10-16 17:00:00;"2024-10-16";17;0;22.0868390465036;0;0
2024-10-16 18:00:00;"2024-10-16";18;0;21.9819673783868;0;0
2024-10-16 19:00:00;"2024-10-16";19;0;21.9598181504026;0;0
2024-10-16 20:00:00;"2024-10-16";20;0;21.9432749996402;0;0
2024-10-16 21:00:00;"2024-10-16";21;0;21.9217272379077;0;0
2024-10-16 22:00:00;"2024-10-16";22;0;21.9161937256773;0;0
2024-10-16 23:00:00;"2024-10-16";23;0;21.9086935887693;0;0
2024-10-17 00:00:00;"2024-10-17";0;0;21.9066580849048;0;0
2024-10-17 01:00:00;"2024-10-17";1;0;21.906844253931;0;0
2024-10-17 02:00:00;"2024-10-17";2;0;21.9061369151375;0;0
2024-10-17 03:00:00;"2024-10-17";3;0;21.9021127660176;0;0
2024-10-17 04:00:00;"2024-10-17";4;0;21.9010817782723;0;0
2024-10-17 05:00:00;"2024-10-17";5;0;21.8973538110304;0;0
2024-10-17 06:00:00;"2024-10-17";6;0;21.8964042143079;0;0
2024-10-17 07:00:00;"2024-10-17";7;0;21.8965553622869;0;0
2024-10-17 08:00:00;"2024-10-17";8;0;21.8971105456085;0;0
2024-10-17 09:00:00;"2024-10-17";9;0;21.8962078198344;0;0
2024-10-17 10:00:00;"2024-10-17";10;0;21.8839862008449;0;0
2024-10-17 11:00:00;"2024-10-17";11;0;21.8480204523005;0;0
2024-10-17 12:00:00;"2024-10-17";12;0;21.8097756606453;0;0
2024-10-17 13:00:00;"2024-10-17";13;0;21.7631592015374;0;0
2024-10-17 14:00:00;"2024-10-17";14;0.0880128292718298;21.6719568630567;0;0
2024-10-17 15:00:00;"2024-10-17";15;0.343909632094089;21.5931950034901;0;0
2024-10-17 16:00:00;"2024-10-17";16;0.607574757653319;21.5092711994131;0;0
2024-10-17 17:00:00;"2024-10-17";17;0.839096083917528;21.4371172164646;0;0
2024-10-17 18:00:00;"2024-10-17";18;0.974736444360312;21.3953545280272;0;0
2024-10-17 19:00:00;"2024-10-17";19;1.13422638899661;21.3444949079032;0;0
2024-10-17 20:00:00;"2024-10-17";20;1.19800003463878;21.3244285681094;0;0
2024-10-17 21:00:00;"2024-10-17";21;1.21394066085567;21.3193084794337;0;0
