date,hurs_CMCC-CM2-SR5,hurs_CNRM-ESM2-1,hurs_EC-Earth3-Veg,hurs_IPSL-CM6A-LR,hurs_MIROC6,hurs_MPI-ESM1-2-HR,hurs_NorESM2-MM,hurs_UKESM1-0-LL,pr_CESM2,pr_CMCC-CM2-SR5,pr_CNRM-ESM2-1,pr_EC-Earth3-Veg,pr_IPSL-CM6A-LR,pr_MIROC6,pr_MPI-ESM1-2-HR,pr_NorESM2-MM,pr_UKESM1-0-LL,tasmax_CNRM-ESM2-1,tasmax_EC-Earth3-Veg,tasmax_IPSL-CM6A-LR,tasmax_MIROC6,tasmax_MPI-ESM1-2-HR,tasmax_NorESM2-MM,tasmax_UKESM1-0-LL,tasmin_CNRM-ESM2-1,tasmin_EC-Earth3-Veg,tasmin_IPSL-CM6A-LR,tasmin_MIROC6,tasmin_MPI-ESM1-2-HR,tasmin_NorESM2-MM,tasmin_UKESM1-0-LL
1991-02-19,61.2308,70.1955,61.2203,59.958,55.7796,73.5218,58.4496,81.0417,5.20853,2.18731,0.305048,4.50051,-2.77556e-14,-2.77556e-14,1.18943,0.55731,1.70986,14.3397,10.2233,19.1248,18.1262,11.3662,27.5413,15.6844,4.56163,7.3507,10.3589,5.63855,1.57313,14.599,9.18636
1991-02-20,72.3068,64.0924,60.423,59.9379,62.7431,68.1234,77.5113,73.289,7.88145,2.72927,-2.77556e-14,0.530585,-2.77556e-14,-2.77556e-14,0.0162859,0.0693973,0.298285,16.6292,13.3125,18.7968,18.3078,12.2034,14.2666,14.727,3.79108,7.08528,9.57738,8.64851,0.768487,9.97016,8.04501
1991-02-21,66.9278,50.3037,70.3904,67.9428,72.4374,64.448,72.3519,68.539,1.9033,0.308482,-2.77556e-14,2.9803,-2.77556e-14,2.7417,-2.77556e-14,0.257569,0.0708325,20.2749,13.4468,18.0615,17.7737,14.3951,16.9168,15.4726,6.23581,6.64658,9.6268,8.53822,5.43945,8.88139,6.01605
1991-02-22,68.2522,48.892,81.8954,60.6769,66.4912,69.8847,60.8897,76.9304,-2.77556e-14,0.53755,0.0183814,1.80476,-2.77556e-14,0.177462,-2.77556e-14,0.00759297,2.54719,21.7575,14.4912,17.479,17.1476,15.2661,16.3471,15.4388,13.8183,6.48145,10.4214,8.76869,4.803,7.619,6.16908
1991-02-23,75.3947,70.8903,68.902,60.6505,69.3235,81.252,52.0864,54.272,0.985574,15.1303,7.35288,0.0138214,-2.77556e-14,0.0227789,1.08257,-2.77556e-14,0.185,16.4135,15.2321,17.7943,17.9734,15.5579,17.0199,12.0385,9.50782,5.63017,6.73181,7.22272,4.1553,6.65741,5.45879
1991-02-24,69.8522,72.215,62.8983,67.1393,69.1019,73.913,63.2046,62.0604,0.318689,10.784,12.7427,0.00106698,0.463094,-2.77556e-14,-2.77556e-14,-2.77556e-14,0.220077,13.3648,18.886,17.2787,19.2976,16.9289,17.9914,14.0516,8.8543,5.42759,6.47022,7.87784,3.6871,7.18413,8.2561
1991-02-25,68.5049,73.3004,75.6155,82.7435,83.036,63.5071,59.8682,58.6774,0.00759297,3.84743,4.31728,2.78909,9.96408,0.00143203,0.0269548,-2.77556e-14,0.547373,14.7845,17.2458,14.6598,19.1835,19.4842,19.5362,16.9688,8.99349,9.81048,7.88221,9.17161,6.1173,9.84054,8.19573
1991-02-26,83.6178,82.227,69.2484,83.6988,72.5343,69.1944,53.2384,68.6051,0.0367138,7.53327,3.47726,0.704046,9.00704,-2.77556e-14,0.663924,0.00744358,4.95843,17.0909,17.8071,14.3065,20.1784,18.6998,21.9364,14.9487,9.62418,8.05046,7.48836,9.02349,8.20127,10.0106,7.07557
1991-02-27,78.6165,85.1586,79.2279,76.4214,41.795,87.2861,56.8496,74.2002,0.00759297,10.3585,11.6037,5.70595,1.9671,-2.77556e-14,1.57332,0.192462,1.79924,13.1897,14.9089,15.2767,19.3976,15.8572,22.8018,16.4874,8.26195,8.08459,7.60738,8.7435,5.95604,10.2614,7.62993
1991-02-28,72.1281,84.5581,67.1097,71.4565,27.9839,68.0804,66.357,63.3354,0.765846,1.99512,14.1897,0.569643,0.598195,-2.77556e-14,0.0989563,-2.77556e-14,0.159354,12.0284,16.7626,17.2092,18.9096,17.4883,21.3869,17.5539,6.39312,6.29127,7.7804,8.56372,5.70896,11.2344,9.08055
